电视,#genre#
NewTV超级电视剧,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225716/index.m3u8
NewTV超级电影,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225717/index.m3u8
NewTV超级体育,http://39.134.66.66/PLTV/88888888/224/3221225635/index.m3u8
NewTV超级综艺,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225714/index.m3u8
NewTV潮妈辣婆,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225685/index.m3u8
NewTV东北热剧,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225741/index.m3u8
NewTV动作电影,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225661/index.m3u8
NewTV古装剧场,http://39.134.66.66/PLTV/88888888/224/3221225524/index.m3u8
NewTV家庭剧场,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225677/index.m3u8
NewTV欢乐剧场,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225742/index.m3u8
NewTV金牌综艺,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225666/index.m3u8
NewTV惊悚悬疑,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225665/index.m3u8
NewTV精品大剧,http://39.134.66.66/PLTV/88888888/224/3221225536/index.m3u8
NewTV精品纪录,http://39.134.66.66/PLTV/88888888/224/3221225545/index.m3u8
NewTV精品体育,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225672/index.m3u8
NewTV军旅剧场,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225676/index.m3u8
NewTV军事评论,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225668/index.m3u8
NewTV明星大片,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225664/index.m3u8
NewTV农业致富,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225683/index.m3u8
NewTV武搏世界,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225680/index.m3u8
NewTV炫舞未来,http://39.134.66.66/PLTV/88888888/224/3221225646/index.m3u8
NewTV怡伴健康,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225673/index.m3u8
NewTV中国功夫,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225681/index.m3u8
NewTV精品萌宠,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226505/index.m3u8
NewTV海外剧场,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225671/index.m3u8
旋风战车队,#genre#
旋风战车队S0101,http://192.168.110.150/chfs/shared/%E6%97%8B%E9%A3%8E%E6%88%98%E8%BD%A6%E9%98%9F/S01.01.mp4
旋风战车队S0102,http://192.168.110.150/chfs/shared/%E6%97%8B%E9%A3%8E%E6%88%98%E8%BD%A6%E9%98%9F/S01.02.mp4
旋风战车队S0103,http://192.168.110.150/chfs/shared/%E6%97%8B%E9%A3%8E%E6%88%98%E8%BD%A6%E9%98%9F/S01.03.mp4
旋风战车队S0104,http://192.168.110.150/chfs/shared/%E6%97%8B%E9%A3%8E%E6%88%98%E8%BD%A6%E9%98%9F/S01.04.mp4
旋风战车队S0105,http://192.168.110.150/chfs/shared/%E6%97%8B%E9%A3%8E%E6%88%98%E8%BD%A6%E9%98%9F/S01.05.mp4
旋风战车队S0106,http://192.168.110.150/chfs/shared/%E6%97%8B%E9%A3%8E%E6%88%98%E8%BD%A6%E9%98%9F/S01.06.mp4
旋风战车队S0107,http://192.168.110.150/chfs/shared/%E6%97%8B%E9%A3%8E%E6%88%98%E8%BD%A6%E9%98%9F/S01.07.mp4
旋风战车队S0108,http://192.168.110.150/chfs/shared/%E6%97%8B%E9%A3%8E%E6%88%98%E8%BD%A6%E9%98%9F/S01.08.mp4
旋风战车队S0109,http://192.168.110.150/chfs/shared/%E6%97%8B%E9%A3%8E%E6%88%98%E8%BD%A6%E9%98%9F/S01.09.mp4
旋风战车队S0110,http://192.168.110.150/chfs/shared/%E6%97%8B%E9%A3%8E%E6%88%98%E8%BD%A6%E9%98%9F/S01.10.mp4
旋风战车队S0111,http://192.168.110.150/chfs/shared/%E6%97%8B%E9%A3%8E%E6%88%98%E8%BD%A6%E9%98%9F/S01.11.mp4
旋风战车队S0112,http://192.168.110.150/chfs/shared/%E6%97%8B%E9%A3%8E%E6%88%98%E8%BD%A6%E9%98%9F/S01.12.mp4
旋风战车队S0113,http://192.168.110.150/chfs/shared/%E6%97%8B%E9%A3%8E%E6%88%98%E8%BD%A6%E9%98%9F/S01.13.mp4
旋风战车队S0114,http://192.168.110.150/chfs/shared/%E6%97%8B%E9%A3%8E%E6%88%98%E8%BD%A6%E9%98%9F/S01.14.mp4
旋风战车队S0115,http://192.168.110.150/chfs/shared/%E6%97%8B%E9%A3%8E%E6%88%98%E8%BD%A6%E9%98%9F/S01.15.mp4
旋风战车队S0116,http://192.168.110.150/chfs/shared/%E6%97%8B%E9%A3%8E%E6%88%98%E8%BD%A6%E9%98%9F/S01.16.mp4
旋风战车队S0117,http://192.168.110.150/chfs/shared/%E6%97%8B%E9%A3%8E%E6%88%98%E8%BD%A6%E9%98%9F/S01.17.mp4
旋风战车队S0118,http://192.168.110.150/chfs/shared/%E6%97%8B%E9%A3%8E%E6%88%98%E8%BD%A6%E9%98%9F/S01.18.mp4
旋风战车队S0119,http://192.168.110.150/chfs/shared/%E6%97%8B%E9%A3%8E%E6%88%98%E8%BD%A6%E9%98%9F/S01.19.mp4
旋风战车队S0120,http://192.168.110.150/chfs/shared/%E6%97%8B%E9%A3%8E%E6%88%98%E8%BD%A6%E9%98%9F/S01.20.mp4
旋风战车队S0201,http://192.168.110.150/chfs/shared/%E6%97%8B%E9%A3%8E%E6%88%98%E8%BD%A6%E9%98%9F/S02.01.mp4
旋风战车队S0202,http://192.168.110.150/chfs/shared/%E6%97%8B%E9%A3%8E%E6%88%98%E8%BD%A6%E9%98%9F/S02.02.mp4
旋风战车队S0203,http://192.168.110.150/chfs/shared/%E6%97%8B%E9%A3%8E%E6%88%98%E8%BD%A6%E9%98%9F/S02.03.mp4
旋风战车队S0204,http://192.168.110.150/chfs/shared/%E6%97%8B%E9%A3%8E%E6%88%98%E8%BD%A6%E9%98%9F/S02.04.mp4
旋风战车队S0205,http://192.168.110.150/chfs/shared/%E6%97%8B%E9%A3%8E%E6%88%98%E8%BD%A6%E9%98%9F/S02.05.mp4
旋风战车队S0206,http://192.168.110.150/chfs/shared/%E6%97%8B%E9%A3%8E%E6%88%98%E8%BD%A6%E9%98%9F/S02.06.mp4
旋风战车队S0207,http://192.168.110.150/chfs/shared/%E6%97%8B%E9%A3%8E%E6%88%98%E8%BD%A6%E9%98%9F/S02.07.mp4
旋风战车队S0208,http://192.168.110.150/chfs/shared/%E6%97%8B%E9%A3%8E%E6%88%98%E8%BD%A6%E9%98%9F/S02.08.mp4
旋风战车队S0209,http://192.168.110.150/chfs/shared/%E6%97%8B%E9%A3%8E%E6%88%98%E8%BD%A6%E9%98%9F/S02.09.mp4
旋风战车队S0210,http://192.168.110.150/chfs/shared/%E6%97%8B%E9%A3%8E%E6%88%98%E8%BD%A6%E9%98%9F/S02.10.mp4
旋风战车队S0211,http://192.168.110.150/chfs/shared/%E6%97%8B%E9%A3%8E%E6%88%98%E8%BD%A6%E9%98%9F/S02.11.mp4
旋风战车队S0212,http://192.168.110.150/chfs/shared/%E6%97%8B%E9%A3%8E%E6%88%98%E8%BD%A6%E9%98%9F/S02.12.mp4
旋风战车队S0213,http://192.168.110.150/chfs/shared/%E6%97%8B%E9%A3%8E%E6%88%98%E8%BD%A6%E9%98%9F/S02.13.mp4
旋风战车队S0214,http://192.168.110.150/chfs/shared/%E6%97%8B%E9%A3%8E%E6%88%98%E8%BD%A6%E9%98%9F/S02.14.mp4
旋风战车队S0215,http://192.168.110.150/chfs/shared/%E6%97%8B%E9%A3%8E%E6%88%98%E8%BD%A6%E9%98%9F/S02.15.mp4
旋风战车队S0216,http://192.168.110.150/chfs/shared/%E6%97%8B%E9%A3%8E%E6%88%98%E8%BD%A6%E9%98%9F/S02.16.mp4
旋风战车队S0217,http://192.168.110.150/chfs/shared/%E6%97%8B%E9%A3%8E%E6%88%98%E8%BD%A6%E9%98%9F/S02.17.mp4
旋风战车队S0218,http://192.168.110.150/chfs/shared/%E6%97%8B%E9%A3%8E%E6%88%98%E8%BD%A6%E9%98%9F/S02.18.mp4
旋风战车队S0219,http://192.168.110.150/chfs/shared/%E6%97%8B%E9%A3%8E%E6%88%98%E8%BD%A6%E9%98%9F/S02.19.mp4
旋风战车队S0220,http://192.168.110.150/chfs/shared/%E6%97%8B%E9%A3%8E%E6%88%98%E8%BD%A6%E9%98%9F/S02.20.mp4
旋风战车队S0301,http://192.168.110.150/chfs/shared/%E6%97%8B%E9%A3%8E%E6%88%98%E8%BD%A6%E9%98%9F/S03.01.mp4
旋风战车队S0302,http://192.168.110.150/chfs/shared/%E6%97%8B%E9%A3%8E%E6%88%98%E8%BD%A6%E9%98%9F/S03.02.mp4
旋风战车队S0303,http://192.168.110.150/chfs/shared/%E6%97%8B%E9%A3%8E%E6%88%98%E8%BD%A6%E9%98%9F/S03.03.mp4
旋风战车队S0304,http://192.168.110.150/chfs/shared/%E6%97%8B%E9%A3%8E%E6%88%98%E8%BD%A6%E9%98%9F/S03.04.mp4
旋风战车队S0305,http://192.168.110.150/chfs/shared/%E6%97%8B%E9%A3%8E%E6%88%98%E8%BD%A6%E9%98%9F/S03.05.mp4
旋风战车队S0306,http://192.168.110.150/chfs/shared/%E6%97%8B%E9%A3%8E%E6%88%98%E8%BD%A6%E9%98%9F/S03.06.mp4
旋风战车队S0307,http://192.168.110.150/chfs/shared/%E6%97%8B%E9%A3%8E%E6%88%98%E8%BD%A6%E9%98%9F/S03.07.mp4
旋风战车队S0308,http://192.168.110.150/chfs/shared/%E6%97%8B%E9%A3%8E%E6%88%98%E8%BD%A6%E9%98%9F/S03.08.mp4
旋风战车队S0309,http://192.168.110.150/chfs/shared/%E6%97%8B%E9%A3%8E%E6%88%98%E8%BD%A6%E9%98%9F/S03.09.mp4
旋风战车队S0310,http://192.168.110.150/chfs/shared/%E6%97%8B%E9%A3%8E%E6%88%98%E8%BD%A6%E9%98%9F/S03.10.mp4
旋风战车队S0311,http://192.168.110.150/chfs/shared/%E6%97%8B%E9%A3%8E%E6%88%98%E8%BD%A6%E9%98%9F/S03.11.mp4
旋风战车队S0312,http://192.168.110.150/chfs/shared/%E6%97%8B%E9%A3%8E%E6%88%98%E8%BD%A6%E9%98%9F/S03.12.mp4
旋风战车队S0313,http://192.168.110.150/chfs/shared/%E6%97%8B%E9%A3%8E%E6%88%98%E8%BD%A6%E9%98%9F/S03.13.mp4
旋风战车队S0314,http://192.168.110.150/chfs/shared/%E6%97%8B%E9%A3%8E%E6%88%98%E8%BD%A6%E9%98%9F/S03.14.mp4
旋风战车队S0315,http://192.168.110.150/chfs/shared/%E6%97%8B%E9%A3%8E%E6%88%98%E8%BD%A6%E9%98%9F/S03.15.mp4
旋风战车队S0316,http://192.168.110.150/chfs/shared/%E6%97%8B%E9%A3%8E%E6%88%98%E8%BD%A6%E9%98%9F/S03.16.mp4
旋风战车队S0317,http://192.168.110.150/chfs/shared/%E6%97%8B%E9%A3%8E%E6%88%98%E8%BD%A6%E9%98%9F/S03.17.mp4
旋风战车队S0318,http://192.168.110.150/chfs/shared/%E6%97%8B%E9%A3%8E%E6%88%98%E8%BD%A6%E9%98%9F/S03.18.mp4
旋风战车队S0319,http://192.168.110.150/chfs/shared/%E6%97%8B%E9%A3%8E%E6%88%98%E8%BD%A6%E9%98%9F/S03.19.mp4
旋风战车队S0320,http://192.168.110.150/chfs/shared/%E6%97%8B%E9%A3%8E%E6%88%98%E8%BD%A6%E9%98%9F/S03.20.mp4
旋风战车队S0401,http://192.168.110.150/chfs/shared/%E6%97%8B%E9%A3%8E%E6%88%98%E8%BD%A6%E9%98%9F/S04.01.mp4
旋风战车队S0402,http://192.168.110.150/chfs/shared/%E6%97%8B%E9%A3%8E%E6%88%98%E8%BD%A6%E9%98%9F/S04.02.mp4
旋风战车队S0403,http://192.168.110.150/chfs/shared/%E6%97%8B%E9%A3%8E%E6%88%98%E8%BD%A6%E9%98%9F/S04.03.mp4
旋风战车队S0404,http://192.168.110.150/chfs/shared/%E6%97%8B%E9%A3%8E%E6%88%98%E8%BD%A6%E9%98%9F/S04.04.mp4
旋风战车队S0405,http://192.168.110.150/chfs/shared/%E6%97%8B%E9%A3%8E%E6%88%98%E8%BD%A6%E9%98%9F/S04.05.mp4
旋风战车队S0406,http://192.168.110.150/chfs/shared/%E6%97%8B%E9%A3%8E%E6%88%98%E8%BD%A6%E9%98%9F/S04.06.mp4
旋风战车队S0407,http://192.168.110.150/chfs/shared/%E6%97%8B%E9%A3%8E%E6%88%98%E8%BD%A6%E9%98%9F/S04.07.mp4
旋风战车队S0408,http://192.168.110.150/chfs/shared/%E6%97%8B%E9%A3%8E%E6%88%98%E8%BD%A6%E9%98%9F/S04.08.mp4
旋风战车队S0409,http://192.168.110.150/chfs/shared/%E6%97%8B%E9%A3%8E%E6%88%98%E8%BD%A6%E9%98%9F/S04.09.mp4
旋风战车队S0410,http://192.168.110.150/chfs/shared/%E6%97%8B%E9%A3%8E%E6%88%98%E8%BD%A6%E9%98%9F/S04.10.mp4
旋风战车队S0411,http://192.168.110.150/chfs/shared/%E6%97%8B%E9%A3%8E%E6%88%98%E8%BD%A6%E9%98%9F/S04.11.mp4
旋风战车队S0412,http://192.168.110.150/chfs/shared/%E6%97%8B%E9%A3%8E%E6%88%98%E8%BD%A6%E9%98%9F/S04.12.mp4
旋风战车队S0413,http://192.168.110.150/chfs/shared/%E6%97%8B%E9%A3%8E%E6%88%98%E8%BD%A6%E9%98%9F/S04.13.mp4
旋风战车队S0414,http://192.168.110.150/chfs/shared/%E6%97%8B%E9%A3%8E%E6%88%98%E8%BD%A6%E9%98%9F/S04.14.mp4
旋风战车队S0415,http://192.168.110.150/chfs/shared/%E6%97%8B%E9%A3%8E%E6%88%98%E8%BD%A6%E9%98%9F/S04.15.mp4
旋风战车队S0416,http://192.168.110.150/chfs/shared/%E6%97%8B%E9%A3%8E%E6%88%98%E8%BD%A6%E9%98%9F/S04.16.mp4
旋风战车队S0417,http://192.168.110.150/chfs/shared/%E6%97%8B%E9%A3%8E%E6%88%98%E8%BD%A6%E9%98%9F/S04.17.mp4
旋风战车队S0418,http://192.168.110.150/chfs/shared/%E6%97%8B%E9%A3%8E%E6%88%98%E8%BD%A6%E9%98%9F/S04.18.mp4
旋风战车队S0419,http://192.168.110.150/chfs/shared/%E6%97%8B%E9%A3%8E%E6%88%98%E8%BD%A6%E9%98%9F/S04.19.mp4
旋风战车队S0420,http://192.168.110.150/chfs/shared/%E6%97%8B%E9%A3%8E%E6%88%98%E8%BD%A6%E9%98%9F/S04.20.mp4
旋风战车队S0501,http://192.168.110.150/chfs/shared/%E6%97%8B%E9%A3%8E%E6%88%98%E8%BD%A6%E9%98%9F/S05.01.mp4
旋风战车队S0502,http://192.168.110.150/chfs/shared/%E6%97%8B%E9%A3%8E%E6%88%98%E8%BD%A6%E9%98%9F/S05.02.mp4
旋风战车队S0503,http://192.168.110.150/chfs/shared/%E6%97%8B%E9%A3%8E%E6%88%98%E8%BD%A6%E9%98%9F/S05.03.mp4
旋风战车队S0504,http://192.168.110.150/chfs/shared/%E6%97%8B%E9%A3%8E%E6%88%98%E8%BD%A6%E9%98%9F/S05.04.mp4
旋风战车队S0505,http://192.168.110.150/chfs/shared/%E6%97%8B%E9%A3%8E%E6%88%98%E8%BD%A6%E9%98%9F/S05.05.mp4
旋风战车队S0506,http://192.168.110.150/chfs/shared/%E6%97%8B%E9%A3%8E%E6%88%98%E8%BD%A6%E9%98%9F/S05.06.mp4
旋风战车队S0507,http://192.168.110.150/chfs/shared/%E6%97%8B%E9%A3%8E%E6%88%98%E8%BD%A6%E9%98%9F/S05.07.mp4
旋风战车队S0508,http://192.168.110.150/chfs/shared/%E6%97%8B%E9%A3%8E%E6%88%98%E8%BD%A6%E9%98%9F/S05.08.mp4
旋风战车队S0509,http://192.168.110.150/chfs/shared/%E6%97%8B%E9%A3%8E%E6%88%98%E8%BD%A6%E9%98%9F/S05.09.mp4
旋风战车队S0510,http://192.168.110.150/chfs/shared/%E6%97%8B%E9%A3%8E%E6%88%98%E8%BD%A6%E9%98%9F/S05.10.mp4
旋风战车队S0511,http://192.168.110.150/chfs/shared/%E6%97%8B%E9%A3%8E%E6%88%98%E8%BD%A6%E9%98%9F/S05.11.mp4
旋风战车队S0512,http://192.168.110.150/chfs/shared/%E6%97%8B%E9%A3%8E%E6%88%98%E8%BD%A6%E9%98%9F/S05.12.mp4
旋风战车队S0513,http://192.168.110.150/chfs/shared/%E6%97%8B%E9%A3%8E%E6%88%98%E8%BD%A6%E9%98%9F/S05.13.mp4
旋风战车队S0514,http://192.168.110.150/chfs/shared/%E6%97%8B%E9%A3%8E%E6%88%98%E8%BD%A6%E9%98%9F/S05.14.mp4
旋风战车队S0515,http://192.168.110.150/chfs/shared/%E6%97%8B%E9%A3%8E%E6%88%98%E8%BD%A6%E9%98%9F/S05.15.mp4
旋风战车队S0516,http://192.168.110.150/chfs/shared/%E6%97%8B%E9%A3%8E%E6%88%98%E8%BD%A6%E9%98%9F/S05.16.mp4
旋风战车队S0517,http://192.168.110.150/chfs/shared/%E6%97%8B%E9%A3%8E%E6%88%98%E8%BD%A6%E9%98%9F/S05.17.mp4
旋风战车队S0518,http://192.168.110.150/chfs/shared/%E6%97%8B%E9%A3%8E%E6%88%98%E8%BD%A6%E9%98%9F/S05.18.mp4
旋风战车队S0519,http://192.168.110.150/chfs/shared/%E6%97%8B%E9%A3%8E%E6%88%98%E8%BD%A6%E9%98%9F/S05.19.mp4
旋风战车队S0520,http://192.168.110.150/chfs/shared/%E6%97%8B%E9%A3%8E%E6%88%98%E8%BD%A6%E9%98%9F/S05.20.mp4
